epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7592,1.13094,4.97857,0.01207,0.74195,0.46512,0.58462,0.44388,0.91822,2.49352,0.0115,0.000653333,0.000653333,0.000653333
2,83.5197,1.29498,2.32482,0.01331,0.99335,0.67442,0.79728,0.52057,1.29474,1.65067,0.016,0.0013199,0.0013199,0.0013199
3,99.3399,1.44732,1.95181,0.01587,0.9719,0.60465,0.69033,0.34077,1.60258,1.74319,0.02236,0.00198607,0.00198607,0.00198607
4,109.519,1.35483,1.94343,0.01489,0.77948,0.73991,0.78529,0.47793,1.47278,1.61515,0.02325,0.00199864,0.00199864,0.00199864
5,116.149,1.38079,1.5119,0.01481,0.96352,0.7907,0.92284,0.6124,1.2241,0.67625,0.01778,0.00199759,0.00199759,0.00199759
6,122.679,1.35578,1.45796,0.01452,0.9256,0.86811,0.93264,0.64219,1.20013,0.75318,0.01658,0.00199623,0.00199623,0.00199623
7,129.55,1.28428,1.13569,0.01351,0.97187,0.80357,0.90835,0.63091,1.17748,0.74675,0.0157,0.00199458,0.00199458,0.00199458
8,136.99,1.33046,1.15695,0.01411,0.95301,0.72093,0.89851,0.54189,1.53165,1.0225,0.02294,0.00199262,0.00199262,0.00199262
9,143.655,1.51248,1.17808,0.0163,0.87216,0.86047,0.91761,0.56575,1.32873,0.95088,0.01944,0.00199037,0.00199037,0.00199037
10,150.318,1.37024,1.09135,0.01389,0.82182,0.76744,0.84286,0.54774,1.23478,0.93516,0.0176,0.00198781,0.00198781,0.00198781
11,156.99,1.18543,0.94803,0.01277,0.91851,0.90698,0.96397,0.68193,1.11216,0.6678,0.01622,0.00198496,0.00198496,0.00198496
12,163.416,1.26437,0.86218,0.01398,0.85598,0.83721,0.92076,0.66783,1.11497,0.72446,0.01539,0.00198181,0.00198181,0.00198181
13,169.959,1.30489,0.9932,0.0132,0.94844,0.85574,0.95657,0.65775,1.13733,0.53186,0.01728,0.00197837,0.00197837,0.00197837
14,176.469,1.25662,0.862,0.01356,0.89479,0.81395,0.89504,0.5998,1.20358,0.65988,0.01719,0.00197463,0.00197463,0.00197463
15,182.934,1.18312,0.84966,0.01233,0.95033,0.88999,0.96186,0.64738,1.19699,0.5039,0.01699,0.00197059,0.00197059,0.00197059
16,189.486,1.20206,0.79297,0.01269,0.93024,0.97674,0.96965,0.66869,1.14869,0.49221,0.01617,0.00196627,0.00196627,0.00196627
17,196.119,1.20273,0.8274,0.01161,0.88885,0.93023,0.96936,0.67405,1.19302,0.50934,0.0186,0.00196165,0.00196165,0.00196165
18,202.686,1.23816,0.76402,0.01291,0.85932,0.85247,0.92839,0.66597,1.10598,0.58322,0.0173,0.00195674,0.00195674,0.00195674
19,209.393,1.17135,0.79428,0.01265,0.92597,0.93023,0.96809,0.66851,1.18824,0.62329,0.01749,0.00195155,0.00195155,0.00195155
20,215.97,1.19149,0.7415,0.01294,0.90888,0.97674,0.96974,0.70079,1.05773,0.4712,0.01491,0.00194606,0.00194606,0.00194606
21,222.59,1.15968,0.65548,0.01208,0.91053,0.94677,0.97655,0.6984,1.12044,0.51604,0.01597,0.0019403,0.0019403,0.0019403
22,229.408,1.12863,0.65115,0.0119,0.92354,0.88372,0.94819,0.7201,1.0098,0.52962,0.01394,0.00193424,0.00193424,0.00193424
23,235.864,1.22138,0.92125,0.0112,0.94517,0.93023,0.9683,0.71452,0.98839,0.4599,0.01402,0.00192791,0.00192791,0.00192791
24,242.231,1.03343,0.71384,0.01087,0.92069,0.88372,0.94909,0.72652,0.98423,0.53644,0.01439,0.0019213,0.0019213,0.0019213
25,248.644,1.02387,0.64127,0.00998,0.92844,0.90523,0.95446,0.73185,0.98647,0.47528,0.01367,0.00191441,0.00191441,0.00191441
26,254.974,1.13147,0.66718,0.01166,0.96786,0.81395,0.94587,0.70364,1.03535,0.51205,0.0152,0.00190724,0.00190724,0.00190724
27,261.662,1.25511,0.79325,0.01289,0.92794,0.93023,0.97562,0.68953,1.01823,0.45489,0.01391,0.00189981,0.00189981,0.00189981
28,268.971,1.1103,0.73255,0.01099,0.9761,0.94996,0.97371,0.72725,0.97443,0.41622,0.01288,0.0018921,0.0018921,0.0018921
29,276.317,1.08604,0.70092,0.00997,0.94503,0.81395,0.93175,0.71175,0.99145,0.45923,0.01382,0.00188412,0.00188412,0.00188412
30,283.773,1.12256,0.71855,0.01248,0.95186,0.91985,0.97049,0.73177,0.97266,0.45576,0.01304,0.00187587,0.00187587,0.00187587
